issue_number,release_name,title,issue_url,state,closed_at,created_at,updated_at,labels
2617,summary,Governance: Auto-removals summary (2026-03-11),https://github.com/kushin77/self-hosted-runner/issues/2617,open,,2026-03-11T19:56:52Z,2026-03-11T20:00:58Z,governance/audit;governance/auto-removed
2556,v2026.03.11-secrets-orch,Auto-removal: release v2026.03.11-secrets-orch,https://github.com/kushin77/self-hosted-runner/issues/2556,closed,2026-03-11T19:59:31Z,2026-03-11T15:30:37Z,2026-03-11T19:59:31Z,governance/audit;governance/auto-removed
2550,gov-final-verify-1773241161,Auto-removal: release gov-final-verify-1773241161,https://github.com/kushin77/self-hosted-runner/issues/2550,closed,2026-03-11T19:57:57Z,2026-03-11T14:59:25Z,2026-03-11T19:58:49Z,governance/audit;governance/auto-removed
2549,v0.1.1-eiq-nexus,Auto-removal: release v0.1.1-eiq-nexus,https://github.com/kushin77/self-hosted-runner/issues/2549,closed,2026-03-11T19:59:38Z,2026-03-11T14:58:31Z,2026-03-11T19:59:38Z,governance/audit;governance/auto-removed
2548,ph3-artifacts-20260307000413,Auto-removal: release ph3-artifacts-20260307000413,https://github.com/kushin77/self-hosted-runner/issues/2548,closed,2026-03-11T19:57:12Z,2026-03-11T14:58:27Z,2026-03-11T19:57:12Z,governance/audit;governance/auto-removed
2547,v0.1.2,Auto-removal: release v0.1.2,https://github.com/kushin77/self-hosted-runner/issues/2547,closed,2026-03-11T19:57:21Z,2026-03-11T14:58:24Z,2026-03-11T19:57:21Z,governance/audit;governance/auto-removed
2546,v0.1.2.1,Auto-removal: release v0.1.2.1,https://github.com/kushin77/self-hosted-runner/issues/2546,closed,2026-03-11T19:58:56Z,2026-03-11T14:58:22Z,2026-03-11T19:58:56Z,governance/audit;governance/auto-removed
2545,ph3-artifacts-20260307000340,Auto-removal: release ph3-artifacts-20260307000340,https://github.com/kushin77/self-hosted-runner/issues/2545,closed,2026-03-11T19:57:27Z,2026-03-11T14:58:18Z,2026-03-11T19:57:27Z,governance/audit;governance/auto-removed
2544,phase7-22807397570,Auto-removal: release phase7-22807397570,https://github.com/kushin77/self-hosted-runner/issues/2544,closed,2026-03-11T19:57:03Z,2026-03-11T14:58:16Z,2026-03-11T19:57:03Z,governance/audit;governance/auto-removed
2543,v2026-03-07-phase-6,Auto-removal: release v2026-03-07-phase-6,https://github.com/kushin77/self-hosted-runner/issues/2543,closed,2026-03-11T19:59:47Z,2026-03-11T14:58:13Z,2026-03-11T19:59:47Z,governance/audit;governance/auto-removed
2542,v0.1.1-resilience-2026-03-07,Auto-removal: release v0.1.1-resilience-2026-03-07,https://github.com/kushin77/self-hosted-runner/issues/2542,closed,2026-03-11T20:00:05Z,2026-03-11T14:58:09Z,2026-03-11T20:00:05Z,governance/audit;governance/auto-removed
2541,v2026-03-09-autodeploy,Auto-removal: release v2026-03-09-autodeploy,https://github.com/kushin77/self-hosted-runner/issues/2541,closed,2026-03-11T19:59:04Z,2026-03-11T14:58:07Z,2026-03-11T19:59:04Z,governance/audit;governance/auto-removed
2540,v2026-03-10,Auto-removal: release v2026-03-10,https://github.com/kushin77/self-hosted-runner/issues/2540,closed,2026-03-11T19:57:35Z,2026-03-11T14:58:04Z,2026-03-11T19:57:35Z,governance/audit;governance/auto-removed
2539,v2026.03.10,Auto-removal: release v2026.03.10,https://github.com/kushin77/self-hosted-runner/issues/2539,closed,2026-03-11T19:57:42Z,2026-03-11T14:58:01Z,2026-03-11T19:57:42Z,governance/audit;governance/auto-removed
2537,gov-test-1773240301,Auto-removal: release gov-test-1773240301,https://github.com/kushin77/self-hosted-runner/issues/2537,closed,2026-03-11T19:57:57Z,2026-03-11T14:57:55Z,2026-03-11T19:57:57Z,governance/audit;governance/auto-removed
2536,gov-test-1773240445,Auto-removal: release gov-test-1773240445,https://github.com/kushin77/self-hosted-runner/issues/2536,closed,2026-03-11T19:58:04Z,2026-03-11T14:57:51Z,2026-03-11T19:58:04Z,governance/audit;governance/auto-removed
2535,gov-test-1773240516,Auto-removal: release gov-test-1773240516,https://github.com/kushin77/self-hosted-runner/issues/2535,closed,2026-03-11T19:58:13Z,2026-03-11T14:57:49Z,2026-03-11T19:58:13Z,governance/audit;governance/auto-removed
2534,gov-test-1773240526,Auto-removal: release gov-test-1773240526,https://github.com/kushin77/self-hosted-runner/issues/2534,closed,2026-03-11T19:58:20Z,2026-03-11T14:57:46Z,2026-03-11T19:58:20Z,governance/audit;governance/auto-removed
2533,gov-test-1773240546,Auto-removal: release gov-test-1773240546,https://github.com/kushin77/self-hosted-runner/issues/2533,closed,2026-03-11T19:58:27Z,2026-03-11T14:57:42Z,2026-03-11T19:58:27Z,governance/audit;governance/auto-removed
2532,gov-test-final-1773240593,Auto-removal: release gov-test-final-1773240593,https://github.com/kushin77/self-hosted-runner/issues/2532,closed,2026-03-11T19:59:14Z,2026-03-11T14:57:40Z,2026-03-11T19:59:14Z,governance/audit;governance/auto-removed
2531,gov-test-verify-1773240570,Auto-removal: release gov-test-verify-1773240570,https://github.com/kushin77/self-hosted-runner/issues/2531,closed,2026-03-11T19:59:22Z,2026-03-11T14:57:37Z,2026-03-11T19:59:22Z,governance/audit;governance/auto-removed
2530,gov-verify-1773240695,Auto-removal: release gov-verify-1773240695,https://github.com/kushin77/self-hosted-runner/issues/2530,closed,2026-03-11T19:58:35Z,2026-03-11T14:57:33Z,2026-03-11T19:58:35Z,governance/audit;governance/auto-removed
2529,gov-verify-1773240720,Auto-removal: release gov-verify-1773240720,https://github.com/kushin77/self-hosted-runner/issues/2529,closed,2026-03-11T19:58:42Z,2026-03-11T14:57:31Z,2026-03-11T19:58:42Z,governance/audit;governance/auto-removed
2528,v2026.03.08-production-ready,Auto-removal: release v2026.03.08-production-ready,https://github.com/kushin77/self-hosted-runner/issues/2528,closed,2026-03-11T19:59:57Z,2026-03-11T14:57:28Z,2026-03-11T19:59:57Z,governance/audit;governance/auto-removed
